Person_Id,Time spent in video
1,1.9333333333333333
2,1.3333333333333333
3,32.766666666666666
5,81.76666666666667
7,4.266666666666667
8,6.066666666666666
12,0.7666666666666667
13,9.633333333333333
14,3.2333333333333334
16,12.666666666666666
17,1.4333333333333333
19,1.1333333333333333
20,6.833333333333333
21,3.7
25,1.0
26,6.5
27,17.166666666666668
28,1.2
29,11.866666666666667
31,0.03333333333333333
32,0.5
33,4.6
35,4.433333333333334
38,0.06666666666666667
39,54.5
42,0.6666666666666666
44,3.3
45,1.2333333333333334
47,67.93333333333334
48,1.6
49,2.433333333333333
50,2.7666666666666666
51,4.866666666666666
52,3.1333333333333333
53,8.533333333333333
55,4.1
56,0.8
57,1.6
58,0.7
59,0.13333333333333333
60,0.23333333333333334
61,2.1333333333333333
63,2.466666666666667
64,0.6666666666666666
65,30.266666666666666
66,1.7333333333333334
67,1.7
68,2.933333333333333
70,1.1333333333333333
71,2.066666666666667
72,2.9
73,0.6
74,0.3
75,1.3333333333333333
76,18.2
77,3.3
79,9.766666666666667
80,1.0
81,4.5
82,0.13333333333333333
83,2.0
85,3.3
87,1.2666666666666666
88,15.1
90,0.9666666666666667
91,1.8
92,1.6666666666666667
93,2.966666666666667
94,0.7666666666666667
95,1.4
97,2.7666666666666666
98,0.8333333333333334
99,0.16666666666666666
100,14.5
104,3.066666666666667
105,11.8
106,0.36666666666666664
107,8.166666666666666
108,0.4
112,5.233333333333333
113,4.133333333333334
116,0.8666666666666667
117,1.7666666666666666
122,5.633333333333334
123,0.5666666666666667
124,2.2666666666666666
125,1.6
126,5.6
127,1.1333333333333333
128,1.6
129,0.13333333333333333
130,3.6333333333333333
132,1.6
133,1.3
134,1.6333333333333333
135,40.5
136,0.03333333333333333
138,6.633333333333334
140,0.6666666666666666
142,1.5666666666666667
144,0.4
146,16.066666666666666
147,32.733333333333334
148,4.666666666666667
149,1.0666666666666667
150,0.4
151,1.8
152,0.8
153,1.2666666666666666
154,1.6
156,0.36666666666666664
157,11.366666666666667
158,10.266666666666667
160,0.1
